,generator,pi_type,cohesion,UC m,UC b,LC m,LC b,LOBF m,LOBF b
14,slate-CS-W,XA,full,4.337310791015625,-1.6686553955078125,0.003814697265625,0.4980926513671875,3.2865590574940495,-1.2020056775888386
15,slate-CS-W,XA,polarized,4.261016845703125,-1.6305084228515625,0.003814697265625,0.4980926513671875,3.2123790949762605,-1.1525142681872917
16,slate-CS-W,XB,full,3.810882568359375,-1.4054412841796875,-0.591278076171875,0.7956390380859375,3.98113914846313,-1.6152244592849554
17,slate-CS-W,XB,polarized,3.734588623046875,-1.3672943115234375,-0.499725341796875,0.7498626708984375,4.005814772625127,-1.6334311950179798
18,slate-CS-W,BX,full,4.375457763671875,-1.6877288818359375,-1.491546630859375,1.2457733154296875,4.412583441827045,-1.8427150511955275
19,slate-CS-W,BX,polarized,4.306793212890625,-1.6533966064453125,-1.125335693359375,1.0626678466796875,4.504030372074159,-1.886858451554052
20,slate-CS-W,AX,full,4.276275634765625,-1.6381378173828125,0.003814697265625,0.4980926513671875,3.155098578104673,-1.1236672416688505
21,slate-CS-W,AX,polarized,4.169464111328125,-1.5847320556640625,0.003814697265625,0.4980926513671875,3.0951197724443147,-1.079632729570032
22,slate-CS-W,X,full,4.703521728515625,-1.8517608642578125,0.003814697265625,0.4980926513671875,2.558461312156299,-0.8086696117396717
23,slate-CS-W,X,polarized,4.543304443359375,-1.7716522216796875,0.003814697265625,0.4980926513671875,2.5107084057748024,-0.7787403652784584
24,slate-BT,U,full,3.643035888671875,-1.3215179443359375,2.338409423828125,-0.6692047119140625,2.599804416676598,-0.7906574185399368
25,slate-BT,U,polarized,3.337860107421875,-1.1689300537109375,2.368927001953125,-0.6844635009765625,2.537214222110134,-0.7471819740665713
26,slate-BT,XA,full,4.108428955078125,-1.5542144775390625,2.452850341796875,-0.7264251708984375,2.531773037237641,-0.7320149687756259
27,slate-BT,XA,polarized,3.810882568359375,-1.4054412841796875,2.521514892578125,-0.7607574462890625,2.5260771874481898,-0.7213184055259705
28,slate-BT,XB,full,4.245758056640625,-1.6228790283203125,2.155303955078125,-0.5776519775390625,2.4553295665889907,-0.7148605246028878
29,slate-BT,XB,polarized,4.405975341796875,-1.7029876708984375,2.407073974609375,-0.7035369873046875,2.432454608241449,-0.6858617731230459
30,slate-BT,BX,full,6.366729736328125,-2.6833648681640625,2.231597900390625,-0.6157989501953125,2.6871091215924996,-0.7945530253830048
31,slate-BT,BX,polarized,7.213592529296875,-3.1067962646484375,2.490997314453125,-0.7454986572265625,2.7410088828688806,-0.7884645902057313
32,slate-BT,AX,full,4.322052001953125,-1.6610260009765625,2.399444580078125,-0.6997222900390625,2.27155373732744,-0.595643994629552
33,slate-BT,AX,polarized,3.803253173828125,-1.4016265869140625,2.407073974609375,-0.7035369873046875,2.2369786684973647,-0.5669395166131285
34,slate-BT,X,full,5.680084228515625,-2.3400421142578125,2.231597900390625,-0.6157989501953125,2.2973744507130776,-0.5808863251837667
35,slate-BT,X,polarized,5.603790283203125,-2.3018951416015625,2.559661865234375,-0.7798309326171875,2.2875975252071834,-0.5504101466780384
36,slate-PL,U,full,4.474639892578125,-1.7373199462890625,1.689910888671875,-0.3449554443359375,2.6790382925185283,-0.8379417225812255
37,slate-PL,U,polarized,4.261016845703125,-1.6305084228515625,1.796722412109375,-0.3983612060546875,2.6520998672835256,-0.8262915836991679
38,slate-PL,XA,full,4.344940185546875,-1.6724700927734375,0.270843505859375,0.3645782470703125,2.3798880957818653,-0.6641467943226717
39,slate-PL,XA,polarized,4.093170166015625,-1.5465850830078125,0.942230224609375,0.0288848876953125,2.3460824782465743,-0.6485703288284281
40,slate-PL,XB,full,3.772735595703125,-1.3863677978515625,0.003814697265625,0.4980926513671875,2.3629303597646216,-0.6920966432042226
41,slate-PL,XB,polarized,3.314971923828125,-1.1574859619140625,0.003814697265625,0.4980926513671875,2.3377919583033906,-0.674006902289287
42,slate-PL,BX,full,4.863739013671875,-1.9318695068359375,0.003814697265625,0.4980926513671875,2.4780508666028203,-0.7390619821379586
43,slate-PL,BX,polarized,4.497528076171875,-1.7487640380859375,0.003814697265625,0.4980926513671875,2.4578709894514477,-0.721874944891138
44,slate-PL,AX,full,4.322052001953125,-1.6610260009765625,0.659942626953125,0.1700286865234375,2.216589180625628,-0.5676971638398282
45,slate-PL,AX,polarized,4.322052001953125,-1.6610260009765625,1.743316650390625,-0.3716583251953125,2.2017943954437666,-0.5489321508381961
46,slate-PL,X,full,5.268096923828125,-2.1340484619140625,0.003814697265625,0.4980926513671875,2.0888039521416015,-0.5090150890956371
47,slate-PL,X,polarized,5.374908447265625,-2.1874542236328125,0.133514404296875,0.4332427978515625,2.0751069636745627,-0.48675219205456427
