,generator,pi_type,cohesion,UC m,UC b,LC m,LC b,LOBF m,LOBF b
31,slate-BT,BX,polarized,0.911712646484375,0.0441436767578125,-1.178741455078125,1.0893707275390625,1.024515715640986,-0.11905878374641901
32,slate-BT,AX,full,0.949859619140625,0.0250701904296875,-1.247406005859375,1.1237030029296875,1.0353501639128146,-0.12343022598932893
33,slate-BT,AX,polarized,0.988006591796875,0.0059967041015625,-0.843048095703125,0.9215240478515625,1.0752397018491033,-0.12688836944307016
34,slate-BT,X,full,0.888824462890625,0.0555877685546875,-1.140594482421875,1.0702972412109375,0.9642119120759909,-0.10031994780754268
35,slate-BT,X,polarized,0.919342041015625,0.0403289794921875,-0.942230224609375,0.9711151123046875,1.0179762130904897,-0.11120569913783757
36,slate-PL,U,full,2.490997314453125,-0.7454986572265625,0.102996826171875,0.4485015869140625,1.3716894599373801,-0.1858262114501711
37,slate-PL,U,polarized,2.201080322265625,-0.6005401611328125,0.118255615234375,0.4408721923828125,1.351181887346853,-0.17813261034009317
38,slate-PL,XA,full,2.887725830078125,-0.9438629150390625,0.003814697265625,0.4980926513671875,1.2087493713599717,-0.08734382148245483
39,slate-PL,XA,polarized,2.178192138671875,-0.5890960693359375,0.003814697265625,0.4980926513671875,1.1850574109539926,-0.08117685362514439
40,slate-PL,XB,full,2.017974853515625,-0.5089874267578125,0.003814697265625,0.4980926513671875,1.2085804902581077,-0.12338283772164631
41,slate-PL,XB,polarized,1.781463623046875,-0.3907318115234375,0.003814697265625,0.4980926513671875,1.18988465339175,-0.11211362299217131
42,slate-PL,BX,full,1.934051513671875,-0.4670257568359375,0.003814697265625,0.4980926513671875,1.2068898947129354,-0.1318400090848624
43,slate-PL,BX,polarized,1.552581787109375,-0.2762908935546875,0.003814697265625,0.4980926513671875,1.1966900158284581,-0.13332185976608085
44,slate-PL,AX,full,2.895355224609375,-0.9476776123046875,0.087738037109375,0.4561309814453125,1.217106471342127,-0.07987628093855281
45,slate-PL,AX,polarized,2.841949462890625,-0.9209747314453125,0.720977783203125,0.1395111083984375,1.2100861965935295,-0.07051532051898687
46,slate-PL,X,full,2.300262451171875,-0.6501312255859375,0.003814697265625,0.4980926513671875,1.0958837462078816,-0.04853035047019558
47,slate-PL,X,polarized,2.124786376953125,-0.5623931884765625,0.003814697265625,0.4980926513671875,1.0776154121957828,-0.04054844683863227
